CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
9001,IPC,379,1,1
9001,IPC,34,1,2
9002,IPC,420,1,1
9002,IPC,468,1,2
9002,IPC,471,1,3
9003,IPC,384,1,1
9003,IPC,324,1,2
9003,IPC,411,1,3
9003,IPC,120B,1,4
9004,IPC,384,1,1
9004,IPC,506,1,2
9005,IPC,384,1,1
9005,ITACT,66D,1,2
9005,IPC,506,1,3
9006,IPC,467,1,1
9006,IPC,468,1,2
9006,IPC,471,1,3
9006,IPC,420,1,4
9006,IPC,120B,1,5
9007,IPC,457,1,1
9007,IPC,380,1,2
9007,IPC,411,1,3
9008,IPC,324,1,1
9008,IPC,506,1,2
9008,IPC,34,1,3
9009,IPC,379,1,1
9010,IPC,379,1,1
9010,IPC,411,1,2
9011,IPC,420,1,1
9011,ITACT,66D,1,2
9011,ITACT,66C,1,3
9011,IPC,120B,1,4
9012,IPC,323,1,1
9012,IPC,506,1,2
9013,IPC,457,1,1
9013,IPC,379,1,2
9013,IPC,413,1,3
9014,IPC,379,1,1
9014,IPC,354,1,2
9014,IPC,120B,1,3
9015,IPC,420,1,1
9015,IPC,406,1,2
9015,IPC,120B,1,3
9016,ITACT,66C,1,1
9016,IPC,420,1,2
9017,ITACT,66C,1,1
9017,IPC,420,1,2
9018,IPC,379,1,1
9018,IPC,120B,1,2
9019,IPC,324,1,1
9019,IPC,34,1,2
9019,IPC,506,1,3
1,IPC,379,1,1
1,IPC,34,1,2
1,IPC,411,1,3
2,IPC,379,1,1
3,IPC,454,1,1
4,IPC,454,1,1
5,IPC,379,1,1
6,IPC,384,1,1
7,IPC,379,1,1
7,IPC,34,1,2
8,IPC,384,1,1
8,IPC,120B,1,2
9,IPC,379,1,1
10,IPC,379,1,1
10,IPC,34,1,2
11,IPC,380,1,1
12,IPC,323,1,1
12,IPC,506,1,2
13,IPC,406,1,1
13,IPC,468,1,2
14,IPC,384,1,1
15,IPC,384,1,1
15,IPC,471,1,2
15,IPC,120B,1,3
16,IPC,323,1,1
16,IPC,506,1,2
16,IPC,34,1,3
17,IPC,354,1,1
18,IPC,420,1,1
18,IPC,120B,1,2
19,IPC,379,1,1
20,IPC,379,1,1
21,IPC,454,1,1
22,IPC,379,1,1
23,IPC,323,1,1
23,IPC,34,1,2
24,IPC,406,1,1
25,IPC,379,1,1
26,IPC,324,1,1
26,IPC,506,1,2
27,IPC,323,1,1
28,IPC,354,1,1
29,IPC,406,1,1
29,IPC,120B,1,2
30,IPC,380,1,1
31,IPC,379,1,1
31,IPC,34,1,2
32,IPC,406,1,1
33,IPC,354,1,1
33,IPC,506,1,2
34,IPC,379,1,1
35,IPC,380,1,1
36,IPC,323,1,1
37,IPC,379,1,1
38,IPC,323,1,1
39,IPC,379,1,1
40,IPC,380,1,1
41,IPC,379,1,1
41,IPC,34,1,2
41,IPC,411,1,3
42,IPC,457,1,1
43,IPC,454,1,1
44,IPC,379,1,1
45,IPC,454,1,1
46,IPC,323,1,1
46,IPC,506,1,2
47,IPC,379,1,1
48,IPC,323,1,1
48,IPC,506,1,2
49,IPC,324,1,1
49,IPC,34,1,2
50,IPC,323,1,1
50,IPC,506,1,2
51,ITACT,66D,1,1
52,IPC,379,1,1
53,IPC,420,1,1
53,IPC,471,1,2
54,IPC,379,1,1
54,IPC,34,1,2
55,IPC,457,1,1
56,IPC,380,1,1
56,IPC,34,1,2
57,IPC,420,1,1
57,IPC,468,1,2
58,IPC,379,1,1
59,IPC,384,1,1
60,IPC,454,1,1
60,IPC,411,1,2
61,IPC,379,1,1
61,IPC,411,1,2
62,IPC,467,1,1
63,IPC,457,1,1
64,IPC,323,1,1
64,IPC,506,1,2
65,IPC,323,1,1
66,IPC,379,1,1
67,IPC,354,1,1
68,IPC,420,1,1
68,IPC,468,1,2
69,IPC,411,1,1
70,IPC,467,1,1
71,IPC,379,1,1
72,IPC,420,1,1
73,IPC,379,1,1
74,IPC,420,1,1
75,IPC,379,1,1
76,ITACT,66D,1,1
77,IPC,420,1,1
78,IPC,379,1,1
79,IPC,323,1,1
80,IPC,379,1,1
81,IPC,380,1,1
82,IPC,457,1,1
83,IPC,420,1,1
84,IPC,354,1,1
85,IPC,380,1,1
85,IPC,411,1,2
86,IPC,380,1,1
87,IPC,420,1,1
87,IPC,468,1,2
88,IPC,379,1,1
89,IPC,323,1,1
90,IPC,379,1,1
91,ITACT,66D,1,1
91,IPC,471,1,2
92,IPC,354,1,1
93,IPC,380,1,1
94,IPC,457,1,1
94,IPC,411,1,2
95,IPC,457,1,1
96,IPC,323,1,1
96,IPC,506,1,2
97,IPC,323,1,1
98,IPC,380,1,1
99,IPC,379,1,1
100,IPC,380,1,1
101,IPC,384,1,1
102,IPC,457,1,1
103,IPC,379,1,1
104,IPC,379,1,1
105,IPC,420,1,1
105,IPC,471,1,2
105,IPC,120B,1,3
106,IPC,379,1,1
106,IPC,34,1,2
107,IPC,323,1,1
107,IPC,506,1,2
108,IPC,354,1,1
109,IPC,380,1,1
110,IPC,379,1,1
111,IPC,379,1,1
112,IPC,454,1,1
113,IPC,457,1,1
114,IPC,380,1,1
