unit,range,year,ipcCases,sllCases,total
Bagalkot,Northern Range,2022,2199,735,2934
Bagalkot,Northern Range,2023,2317,985,3302
Bagalkot,Northern Range,2024,2468,,
Bagalkot,Northern Range,2025,2208,1362,3570
Ballari,Ballari Range,2022,1792,1434,3226
Ballari,Ballari Range,2023,2053,1386,3439
Ballari,Ballari Range,2024,2500,,
Ballari,Ballari Range,2025,1924,1961,3885
Belagavi City,Commissionerate,2022,1721,406,2127
Belagavi City,Commissionerate,2023,1694,393,2087
Belagavi City,Commissionerate,2024,1680,,
Belagavi City,Commissionerate,2025,1655,652,2307
Belagavi Dist,Northern Range,2022,4703,1324,6027
Belagavi Dist,Northern Range,2023,4955,1830,6785
Belagavi Dist,Northern Range,2024,4992,,
Belagavi Dist,Northern Range,2025,4535,2059,6594
Bengaluru City,Commissionerate,2022,28666,17521,46187
Bengaluru City,Commissionerate,2023,41637,26883,68520
Bengaluru City,Commissionerate,2024,42968,,
Bengaluru City,Commissionerate,2025,37181,19291,56472
Bengaluru Dist,Central Range,2022,6031,961,6992
Bengaluru Dist,Central Range,2023,7568,1853,9421
Bengaluru Dist,Central Range,2024,7365,,
Bengaluru Dist,Central Range,2025,6433,1187,7620
Bengaluru South,Central Range,2025,3644,936,4580
Bidar,North Eastern Range,2022,3136,886,4022
Bidar,North Eastern Range,2023,3110,1224,4334
Bidar,North Eastern Range,2024,3122,,
Bidar,North Eastern Range,2025,3054,1172,4226
Chamarajanagar,Southern Range,2022,1705,668,2373
Chamarajanagar,Southern Range,2023,1951,717,2668
Chamarajanagar,Southern Range,2024,2097,,
Chamarajanagar,Southern Range,2025,2068,844,2912
Chikkaballapura,Central Range,2022,2577,1743,4320
Chikkaballapura,Central Range,2023,2734,1223,3957
Chikkaballapura,Central Range,2024,3072,,
Chikkaballapura,Central Range,2025,2542,1619,4161
Chikkamagaluru,Western Range,2022,2759,1096,3855
Chikkamagaluru,Western Range,2023,3036,1211,4247
Chikkamagaluru,Western Range,2024,2724,,
Chikkamagaluru,Western Range,2025,2722,1488,4210
Chitradurga,Eastern Range,2022,4057,1264,5321
Chitradurga,Eastern Range,2023,4367,1545,5912
Chitradurga,Eastern Range,2024,4811,,
Chitradurga,Eastern Range,2025,4098,1740,5838
Dakshina Kannada,Western Range,2022,1812,266,2078
Dakshina Kannada,Western Range,2023,1835,375,2210
Dakshina Kannada,Western Range,2024,1743,,
Dakshina Kannada,Western Range,2025,1816,417,2233
Davanagere,Eastern Range,2022,3396,995,4391
Davanagere,Eastern Range,2023,3755,1170,4925
Davanagere,Eastern Range,2024,3525,,
Davanagere,Eastern Range,2025,3385,1386,4771
Dharwad,Northern Range,2022,1193,536,1729
Dharwad,Northern Range,2023,1237,571,1808
Dharwad,Northern Range,2024,1294,,
Dharwad,Northern Range,2025,1016,625,1641
Gadag,Northern Range,2022,1060,856,1916
Gadag,Northern Range,2023,1229,958,2187
Gadag,Northern Range,2024,1468,,
Gadag,Northern Range,2025,1043,1225,2268
Hassan,Southern Range,2022,4652,1189,5841
Hassan,Southern Range,2023,5163,1200,6363
