CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2022-05-17 10:00:00,A,1001
2,2,2023-03-02 10:00:00,A,1001
3,3,2022-11-18 10:00:00,A,1001
4,4,2022-08-17 10:00:00,A,1001
5,5,2023-02-04 10:00:00,A,1001
6,6,2022-08-30 10:00:00,A,1001
7,9,2023-06-22 10:00:00,A,1001
8,11,2023-04-13 10:00:00,A,1001
9,13,2024-05-04 10:00:00,A,1001
10,14,2024-09-07 10:00:00,A,1001
11,15,2024-11-08 10:00:00,A,1001
12,16,2024-12-28 10:00:00,A,1001
13,17,2025-10-23 10:00:00,A,1001
14,18,2025-04-11 10:00:00,A,1001
15,19,2026-01-24 10:00:00,A,1001
16,20,2025-03-17 10:00:00,A,1001
17,21,2025-05-30 10:00:00,A,1001
18,22,2026-12-01 10:00:00,A,1001
19,25,2026-10-02 10:00:00,A,1001
20,29,2023-05-08 10:00:00,A,1001
21,36,2025-01-10 10:00:00,A,1001
22,37,2024-11-01 10:00:00,A,1001
23,38,2025-03-01 10:00:00,A,1001
24,39,2024-06-04 10:00:00,A,1001
25,41,2025-11-29 10:00:00,A,1001
26,42,2025-12-11 10:00:00,A,1001
27,43,2025-08-05 10:00:00,A,1001
28,45,2026-01-10 10:00:00,A,1001
29,46,2026-07-16 10:00:00,A,1001
30,47,2026-11-24 10:00:00,A,1001
31,48,2027-02-21 10:00:00,A,1001
32,51,2022-09-26 10:00:00,A,1001
33,53,2022-09-10 10:00:00,A,1001
34,55,2022-05-28 10:00:00,A,1001
35,58,2023-06-14 10:00:00,A,1001
36,60,2025-03-14 10:00:00,A,1001
37,61,2024-12-20 10:00:00,A,1001
38,63,2024-10-12 10:00:00,A,1001
39,64,2024-03-29 10:00:00,A,1001
40,65,2026-01-07 10:00:00,A,1001
41,66,2025-11-06 10:00:00,A,1001
42,67,2025-12-01 10:00:00,A,1001
43,68,2025-10-30 10:00:00,A,1001
44,69,2025-11-27 10:00:00,A,1001
45,70,2027-01-07 10:00:00,A,1001
46,71,2027-01-27 10:00:00,A,1001
47,72,2026-11-29 10:00:00,A,1001
48,73,2026-04-27 10:00:00,A,1001
49,74,2022-06-24 10:00:00,A,1001
50,75,2022-04-22 10:00:00,A,1001
51,76,2022-10-10 10:00:00,A,1001
52,77,2022-11-22 10:00:00,A,1001
53,80,2023-11-01 10:00:00,A,1001
54,84,2024-07-18 10:00:00,A,1001
55,85,2024-06-07 10:00:00,A,1001
56,86,2024-12-26 10:00:00,A,1001
57,88,2025-03-31 10:00:00,A,1001
58,90,2025-12-31 10:00:00,A,1001
59,93,2025-11-11 10:00:00,A,1001
60,94,2027-02-12 10:00:00,A,1001
61,96,2026-12-13 10:00:00,A,1001
62,97,2026-07-23 10:00:00,A,1001
63,98,2026-05-24 10:00:00,A,1001
64,100,2026-09-09 10:00:00,A,1001
65,101,2022-10-16 10:00:00,A,1002
66,102,2022-10-21 10:00:00,A,1002
67,103,2022-10-11 10:00:00,A,1002
68,104,2023-04-12 10:00:00,A,1002
69,105,2024-02-16 10:00:00,A,1002
70,108,2025-02-04 10:00:00,A,1002
71,112,2025-08-30 10:00:00,A,1002
72,113,2025-05-06 10:00:00,A,1002
73,114,2025-07-28 10:00:00,A,1002
74,115,2026-10-15 10:00:00,A,1002
75,116,2026-07-30 10:00:00,A,1002
76,117,2026-10-29 10:00:00,A,1002
77,118,2023-01-11 10:00:00,A,1002
78,119,2022-05-13 10:00:00,A,1002
79,120,2022-03-08 10:00:00,A,1002
80,121,2023-03-30 10:00:00,A,1002
81,123,2023-10-31 10:00:00,A,1002
82,124,2024-02-26 10:00:00,A,1002
83,125,2024-10-23 10:00:00,A,1002
84,128,2025-12-02 10:00:00,A,1002
85,129,2025-10-16 10:00:00,A,1002
