lat,lon,hour,dow,is_weekend,crime_type,severity
13.03301,77.546274,4,2,0,theft,1
12.977393,77.604957,23,3,0,assault,3
12.972984,77.611302,0,1,0,assault,3
13.002425,77.572522,18,1,0,theft,2
13.001729,77.570358,18,6,1,fraud,1
12.972105,77.576997,22,3,0,theft,1
12.849211,77.659921,2,0,0,burglary,2
12.964065,77.572462,8,6,1,harassment,1
12.894555,77.586952,3,6,1,burglary,1
13.028914,77.551404,1,1,0,theft,1
12.983536,77.604448,18,1,0,theft,2
13.044931,77.491796,13,2,0,harassment,2
13.027966,77.536932,14,1,0,vehicle_theft,2
12.932795,77.582257,22,3,0,burglary,2
12.969891,77.644742,1,3,0,assault,3
13.040143,77.596032,19,4,0,theft,1
12.92944,77.583254,1,4,0,burglary,1
13.005969,77.564181,19,3,0,fraud,1
12.911525,77.629977,17,0,0,theft,1
12.967659,77.638896,20,6,1,theft,2
12.91773,77.599083,21,4,0,harassment,1
13.106246,77.596916,22,4,0,vehicle_theft,1
12.908223,77.615621,18,6,1,vehicle_theft,3
13.027117,77.541211,7,5,1,vehicle_theft,2
13.045637,77.515438,16,3,0,theft,1
13.003931,77.572792,21,6,1,burglary,2
12.90862,77.584723,14,0,0,burglary,2
13.011533,77.570475,4,6,1,theft,1
12.979656,77.626295,0,2,0,theft,1
13.01447,77.696186,23,0,0,vehicle_theft,2
12.959654,77.573776,16,2,0,harassment,2
12.848971,77.655745,22,6,1,vehicle_theft,3
12.902141,77.629055,6,5,1,assault,3
12.910145,77.640923,22,4,0,vehicle_theft,1
13.037675,77.600813,8,2,0,assault,3
13.014545,77.650333,11,1,0,fraud,1
12.974938,77.637855,0,4,0,harassment,1
12.845259,77.646009,21,6,1,theft,1
12.904153,77.585045,22,3,0,burglary,2
13.009079,77.685363,7,0,0,assault,2
12.970398,77.57043,11,1,0,harassment,1
12.834086,77.650457,3,4,0,vehicle_theft,2
12.899698,77.754069,8,4,0,fraud,2
12.969919,77.579513,10,3,0,harassment,1
12.901891,77.589489,20,4,0,theft,1
12.935719,77.606018,3,2,0,harassment,1
13.002305,77.573174,12,4,0,burglary,2
12.842716,77.6611,12,3,0,burglary,2
13.104956,77.602035,3,1,0,theft,2
12.980616,77.599297,1,2,0,harassment,1
12.976776,77.565294,23,3,0,harassment,1
12.931022,77.583128,19,4,0,theft,2
12.882997,77.550079,1,2,0,vehicle_theft,1
12.971939,77.529904,20,4,0,vehicle_theft,2
12.962725,77.7023,17,1,0,vehicle_theft,2
13.098057,77.596987,22,4,0,vehicle_theft,2
12.985163,77.52705,19,6,1,theft,1
12.935187,77.636532,14,5,1,vehicle_theft,2
12.980775,77.565302,8,0,0,fraud,1
13.047685,77.520801,6,0,0,theft,1
12.975186,77.570699,9,5,1,theft,1
12.979308,77.750764,2,6,1,burglary,2
12.969809,77.565075,19,4,0,theft,1
12.977031,77.529498,16,4,0,theft,2
12.935043,77.632111,22,0,0,theft,2
12.998474,77.554951,19,2,0,theft,1
12.847677,77.652439,9,4,0,vehicle_theft,1
13.008014,77.694803,2,5,1,vehicle_theft,1
12.971858,77.530472,17,5,1,theft,1
12.984582,77.568058,21,2,0,theft,1
12.982853,77.599349,10,2,0,harassment,1
12.969305,77.576879,18,4,0,theft,2
12.914884,77.610936,23,0,0,theft,1
12.97095,77.638259,22,5,1,assault,3
12.930763,77.558429,20,4,0,theft,1
12.96806,77.540184,12,4,0,burglary,1
12.911744,77.616826,11,3,0,theft,2
12.99604,77.552401,10,6,1,theft,1
12.921412,77.654408,17,1,0,harassment,1
12.958154,77.701895,17,4,0,theft,1
12.964814,77.747722,3,6,1,burglary,2
12.97154,77.602767,3,1,0,harassment,2
12.953378,77.707651,9,5,1,vehicle_theft,3
12.964225,77.577827,17,2,0,theft,2
12.961417,77.578848,22,2,0,theft,1
12.982045,77.605266,2,1,0,harassment,1
12.978392,77.566033,9,0,0,theft,2
12.910136,77.638636,20,0,0,burglary,2
12.958455,77.578947,18,2,0,theft,2
12.970804,77.64104,23,6,1,harassment,1
12.906746,77.612271,17,4,0,burglary,3
12.964798,77.58038,17,6,1,harassment,1
12.985104,77.605032,7,0,0,assault,2
12.92075,77.573491,1,4,0,theft,1
13.039711,77.586026,6,3,0,theft,1
12.910905,77.608952,9,1,0,vehicle_theft,3
13.014653,77.698588,18,4,0,burglary,1
13.013723,77.69929,9,1,0,burglary,1
12.908086,77.583495,18,2,0,theft,1
13.02663,77.531491,16,2,0,vehicle_theft,3
12.886914,77.721908,12,2,0,vehicle_theft,2
12.923439,77.614372,18,2,0,theft,1
12.928762,77.583945,16,6,1,burglary,2
12.996155,77.678111,10,6,1,vehicle_theft,1
12.964308,77.5991,18,1,0,assault,2
12.916273,77.60911,8,4,0,harassment,1
12.923028,77.584353,0,6,1,theft,1
12.905123,77.647341,0,0,0,vehicle_theft,1
12.913483,77.613597,13,6,1,burglary,2
12.964673,77.58225,18,5,1,theft,3
13.025472,77.520372,23,4,0,vehicle_theft,2
13.067891,77.757403,15,2,0,theft,1
12.904057,77.585064,20,6,1,theft,1
12.996266,77.555558,22,4,0,assault,2
13.030442,77.583136,4,5,1,burglary,2
12.929528,77.586548,17,1,0,theft,1
12.90275,77.584139,23,0,0,vehicle_theft,2
12.857501,77.681938,2,3,0,vehicle_theft,3
12.935363,77.62559,8,5,1,vehicle_theft,2
12.978789,77.570518,12,5,1,theft,1
12.90683,77.617275,7,6,1,theft,1
12.911579,77.60354,17,0,0,theft,2
12.974777,77.730729,23,0,0,vehicle_theft,2
12.963225,77.576559,12,6,1,assault,3
13.098175,77.5971,3,0,0,vehicle_theft,2
